Regulator	Target	MoA	likelihood
10002	5631	-0.999924048977764	0.85882589120548
10002	7779	-0.999980897694082	0.914706557542978
10002	81555	-0.999996597961108	0.955080501069744
10002	57563	-0.999537305470629	0.951186258259911
10002	5576	-0.999871900262726	0.906927063759706
10002	253635	-0.999978630927481	0.898898701637176
10002	220972	-0.999995848586548	0.94805595976889
10002	85290	-0.138008076179356	0.0119675433228615
10002	1761	0.0358598328449953	0.403921021716666
10002	286257	0.99970445631318	0.949173649286039
10002	166	0.999842716308203	0.916919464045963
10002	692108	-0.0129509229348583	0.0580283470180401
10002	254786	0.216805798268901	0.0376507001570201
10002	116969	-0.0280099470900829	0.0708135462046853
10002	653427	-0.0162991893020213	0.030845798731324
10002	92822	0.999911219869773	0.845303864472118
10002	7403	-0.989106908648113	0.815427947086998
10002	5295	-0.909804284907686	0.629715267652289
10009	538	0.999999999999996	0.999584889648883
10009	54521	0.999999999999984	0.999537401476858
10009	80124	0.999999999999973	0.998168518704316
10009	93380	0.999999999999901	0.998965559641568
10009	1385	0.999999999999974	0.999695681213298
10009	29978	0.999999999998895	0.998613410363635
10009	996	0.999999999999831	0.998598001536057
10009	54439	0.999999999999989	0.99940622775826
10009	23592	0.999999999981522	0.993878609233486
10009	3920	0.999999999576506	0.992954427378064
10009	5049	0.999999999999917	0.999407743841206
10009	7707	0.999999999999959	0.999569343987857
10009	246175	0.99999999999972	0.999055700456531
10009	79872	0.999999999999987	0.999169682976995
10009	10527	0.999999999999639	0.998689866195735
10009	5062	0.999999999994286	0.997844598169488
10009	55156	0.999999999988113	0.998031623851144
10009	55660	0.999999999999884	0.997426185434758
10009	5509	0.999999999767783	0.978419470293058
10009	64645	0.999999999999733	0.997919151329152
10009	10526	0.999999999999351	0.99870213159624
10009	84085	0.999999999982969	0.994045437377563
10009	6400	0.99999999999877	0.996082822020269
10009	10469	-0.999999995667405	0.994098541594619
10009	157378	0.999999999817633	0.985669647721451
10009	51194	0.99999999999765	0.99670453816577
10009	57826	0.999975427514215	0.842008804619468
10009	79710	0.999999999517991	0.95909186958086
10009	5048	0.999999999999838	0.99792751797238
10009	1891	-0.999999994732914	0.974310426346731
10009	285636	0.999999999970857	0.978543374962913
10009	84188	0.999999793146492	0.952419799996814
10009	9821	0.999999999999225	0.995277806644726
10009	2957	0.999999999999821	0.998474639674662
10009	29979	0.99999999999492	0.991935182610098
10009	1997	0.99999999999464	0.992047818591624
10009	9463	-0.999999999331518	0.996806803201834
10009	29934	0.999999999104409	0.996201649119197
10009	8086	-0.999999984626925	0.991112609406104
10009	55036	-0.999999932411429	0.955435159931605
10009	6059	0.99999999712748	0.937992511335264
10009	5382	-0.996429441264683	0.544817083814617
10009	388886	-0.999999985172256	0.971562409703627
10009	23161	0.99999999999503	0.986165077137748
10009	10767	0.999999999933466	0.982275455890321
10009	54842	0.999999999836067	0.971557436740449
10009	9683	0.999688637021931	0.785941918804392
10009	171483	-0.0101483601962867	0.030845798731324
10009	645528	-0.999820398984524	0.817817233497672
10009	4207	-0.999999980068059	0.99126007317849
10009	767577	0.0344256757100636	0.123474978081469
10009	85509	0.0105548491113789	0.0119675433228615
100101467	23126	0.999999999999993	0.999317813991173
100101467	8473	0.999999999999988	0.999539547664504
100101467	9923	0.999999999998289	0.99464967813089
100101467	389114	0.999999999938868	0.987377840492226
100101467	27152	0.999999999999959	0.99828791181022
100101467	9849	0.999999999999672	0.996620392874994
100101467	163131	0.999999999999948	0.998139327329887
100101467	84289	0.999999999990343	0.988104010193857
100101467	80263	0.999999996158089	0.973758652568199
100101467	11201	0.999999999993841	0.990819098884037
100101467	643641	0.999999999999743	0.996780756873746
100101467	84460	0.999999999999943	0.998699416752785
100101467	90594	0.999999999996136	0.996044322729688
100101467	643836	0.999999999999683	0.993979729164274
100101467	401375	0.999999998971092	0.959924885043824
100101467	3233	0.999999997552666	0.912592371094617
100101467	23178	0.999995882336065	0.800013859090477
100101467	284459	0.999999999984176	0.981814830518319
100101467	50804	0.999999988460205	0.927740696997827
100101467	284729	0.999841168078341	0.701091783587941
100101467	26039	0.999999999996039	0.992703017545385
100101467	54487	0.999999998247206	0.930992308508414
100101467	151613	0.999999999999937	0.997573764907007
100101467	3361	-0.00506042511709586	0.284767520665205
100101467	7407	-0.999287922601799	0.698288315064628
100101467	157855	-0.00770953732287788	0.0119675433228615
100101467	727896	0.992799466589746	0.723788976006058
100101467	2865	-0.0122668907283314	0.402720987745807
100101467	4826	0.999999999932817	0.977037000136239
100101467	6904	0.989000728469549	0.748535666282385
100101467	54816	0.99999999500613	0.953565968198465
100101467	3221	0.999947609301236	0.685274046872498
100101467	389668	-0.00881505064317626	0.0119675433228615
100101467	3140	-0.96906603341914	0.594756214182438
100125288	55692	1	0.999978144463431
100125288	283870	1	0.999961559468492
100125288	146705	1	0.999980140167276
100125288	92715	1	0.999902941141503
100125288	83858	1	0.999968427383574
100125288	338657	1	0.999975282510628
100125288	80152	1	0.999950973432794
100125288	54540	1	0.999950971672326
100125288	1775	1	0.99960511514655
100125288	84173	0.999999999999998	0.999514949882281
100125288	5883	1	0.999929909767337
100125288	23192	0.999999999999983	0.999548822157972
100125288	2027	0.999999999911712	0.991639072227032
100125288	285193	0.999999999996985	0.993268393284839
100125288	388969	0.999999999999994	0.999108464105988
100125288	80895	0.999999999999822	0.997168852386945
100125288	8557	0.999999999993139	0.990837696935082
100125288	8608	0.999999999999919	0.997747680413376
100125288	2057	0.999999999999982	0.999041946262244
100125288	80864	0.999999999999998	0.99966780834983
100125288	55657	1	0.999902351872447
100125288	80336	1	0.999873785113474
100125288	8822	0.999999999999164	0.994307381842319
100125288	1018	1	0.999933383342857
100125288	84940	0.999999999999995	0.999034375217442
100125288	91373	0.9999999999718	0.987748287356135
100125288	199746	1	0.999650493080271
100125288	283981	0.999999999999969	0.998283500935894
100125288	100126793	0.999999999999152	0.994334514969666
100125288	55262	0.999999999999997	0.999083437321934
100125288	10730	-0.999999999188142	0.997978695452095
100125288	11020	0.999999999999765	0.993625701100859
100125288	441108	0.999999999999315	0.996367899947646
100125288	11132	0.999999999999943	0.998809266611333
100125288	10347	0.999999999999319	0.991105872145042
100125288	375341	0.999999999998931	0.992777353883581
100125288	26261	0.999999988708456	0.916779398729876
100125288	65010	0.999999999995899	0.997094398167909
100125288	84283	0.999999999980222	0.988191559586624
100125288	97	0.999999999911056	0.983762567960928
100125288	373863	0.999999999998139	0.992194025581054
100125288	27158	0.999999999999517	0.996380609437668
100125288	54991	1	0.999757797930838
100125288	127002	0.999999999999994	0.999100751257375
