Regulator	Target	MoA	likelihood
10002	23086	0.999966648984131	0.947149892769033
10002	55056	0.999984428640693	0.955113179772018
10002	10802	-0.997916940757575	0.83414399714998
10002	5462	0.999756547682451	0.868855309063615
10002	90338	0.999983791103398	0.917783252447165
10002	440295	0.999971666573286	0.915482480049185
10002	138802	-0.0247915327673078	0.716565510901726
10002	5901	-0.99929129266246	0.924639506736301
10002	26472	-0.445018724051253	0.680644656812146
10002	29057	0.999728922411712	0.886913470911123
10002	57830	0.916368440256656	0.543881789001893
10002	4838	0.998566524362788	0.453773387619621
10002	10308	-0.996612108306506	0.716191710054147
10002	56951	-0.998580383874252	0.663685230363121
10002	2166	0.999717430921539	0.635966376318437
10002	5962	-0.160474418666144	0.812415311127236
10002	55181	-0.998301015750687	0.758744493907883
10002	84516	-0.999019933029628	0.761446669371291
10002	26230	-0.100412169294162	0.479202288392599
10002	836	-0.999538252189492	0.807969520653063
10002	55289	0.998497596732887	0.767449112468154
10002	2679	0.998173209720506	0.617708774274851
10002	157739	0.715231413952394	0.422142533983022
10002	57709	0.489146148471693	0.156635122872174
10002	284654	0.982188279156658	0.850066403403209
10002	9140	-0.998211996778782	0.659619518621805
10002	728655	0.225573491953847	0.287680004911688
10002	54089	0.0639642124792572	0.0427387820137145
10002	79940	0.989533328275025	0.85637241850542
10002	55702	0.990159925452464	0.659776897563207
10002	729396	-0.0672885412394663	0.177919542746111
10002	53345	-0.315328715173728	0.522817477451832
10002	29083	-0.994121062143418	0.439172282342668
10002	91074	-0.0241141898187243	0.0754685931743634
10002	8869	0.604795024672451	0.510157022114967
10002	283237	-0.999270236629083	0.763507692349242
10002	15	0.144229335370888	0.0275460965425072
10002	128239	-0.936509834061079	0.657443518327522
10002	64121	-0.993311687603811	0.487649797453399
10002	131375	0.285514424104402	0.349766349325902
10002	81790	-0.0213956031937022	0.282116056323631
10002	56896	-0.0506065092000949	0.0837323245789693
10002	2555	-0.0507681664510434	0.401265292109217
10002	6897	-0.999306617534598	0.847517277042314
10002	113419	0.238048807130673	0.0587036410339662
10002	284069	-0.0374161350984308	0.393435444905078
10002	7455	-0.0402516029550125	0.11685129557943
10002	65122	-0.0347604855072556	0.0666446521256215
10002	56146	0.167828579677584	0.487362075685443
10002	1316	0.134822811239222	0.793269108570192
10002	10168	0.0908804771798091	0.0587036410339662
10002	55082	0.999173056419035	0.635355855515213
10009	63932	0.999999999995535	0.999017990683954
10009	331	0.999999999952748	0.998274786484983
10009	10735	0.999999999999937	0.999652064461853
10009	8776	0.999999999938408	0.997128206115677
10009	286410	0.99999999995956	0.997338279778768
10009	84295	0.999999999996613	0.999095431947374
10009	57187	0.999999999976191	0.997476406633502
10009	2332	0.999999999734624	0.992947888391264
10009	80823	0.999999999223091	0.994743769315728
10009	55922	0.999999999712251	0.997160862482623
10009	10495	0.999999997664488	0.986893564543637
10009	139231	0.999999999851161	0.9952836214463
10009	51132	0.999999987952473	0.986852329976583
10009	5631	0.999999985936795	0.982079294813989
10009	203547	0.999999917758287	0.989814128555141
10009	10479	0.999999942033247	0.954684919499426
10009	3920	0.999998937155727	0.905203466338381
10009	3188	0.999999724563881	0.959775116490047
10009	5833	-0.999986030387206	0.990510006832014
10009	55285	0.999999982117191	0.976991760904346
10009	22	0.999994663164336	0.958573097822182
10009	55609	0.999999996613817	0.993947486685327
10009	79979	0.999998557999026	0.952453675074567
10009	79016	-0.999988248968385	0.966313202844261
10009	80351	0.999999993085977	0.986514138958568
10009	84832	0.999999990801497	0.990615551435271
10009	513	-0.999981301085943	0.991017796261624
10009	3597	0.999998430685944	0.905213755590224
10009	3423	0.999998537233374	0.934969089028261
